wavelength_nm,intensity
792.446,294.01324835285027
792.565,270.39749077709274
792.684,248.0986163182183
792.803,227.11662497622694
792.922,207.45151675111853
793.041,178.17446047406227
793.16,157.5008674004692
793.279,148.01515311475487
793.398,147.36233926194106
793.518,156.30433060393244
793.637,174.03333493293673
793.756,205.53463363423538
793.875,237.42207952168116
793.994,258.68528298488457
794.113,258.591776491378
794.232,256.2688327684342
794.351,246.81255571215726
794.47,218.7865816861833
794.589,191.77532627492786
794.708,178.56320506280673
794.827,167.44718774678944
794.946,157.8437245433263
795.066,164.31731761691935
795.185,181.52684142644318
795.304,192.46623536583712
795.423,185.51125701085874
795.542,174.89567259527433
795.661,161.79350809310992
795.78,144.15281545241731
795.899,130.6826855822875
796.018,131.58658168618356
796.137,133.41255571215763
796.256,138.98138688098874
796.375,145.8913435909454
796.494,138.50779380739567
796.613,135.46796696756894
796.732,124.86796696756895
796.851,115.47402757362957
796.97,106.56407086367278
797.089,99.8792223788243
797.208,96.6878803874823
797.327,108.0593089589108
797.446,110.56753406713591
797.565,127.61861631821817
797.684,133.92078082038265
797.803,136.6549799545818
797.922,133.27229597189782
798.041,126.47662497622687
798.16,120.06363796323988
798.279,120.17532627492817
798.398,121.4229453225472
798.517,126.86623536583727
798.636,122.41601891562082
798.755,119.74935224895415
798.874,122.50173320133513
798.993,123.57099727059921
799.112,133.1320362316381
799.231,144.02467692427877
799.35,141.21861631821815
799.469,141.90259900220076
799.588,140.1216466212484
799.707,133.96926566886742
799.826,133.63160333120516
799.945,125.43420073380267
800.064,124.30000159960355
800.183,132.80736090696286
800.302,120.88701458661652
800.421,125.76753406713598
800.54,131.36407086367277
800.659,142.48528298488483
800.778,162.14069424029606
800.897,171.69826999787182
801.016,173.8653695649714
801.135,187.11039120999297
801.254,179.5008674004692
801.373,170.5649366645385
801.492,162.09047779007958
801.611,166.66190636150816
801.729,177.319049218651
801.848,181.8896119892138
801.967,180.81948211908394
802.086,180.80562930523104
802.205,167.14329164289342
802.324,138.2662353658372
802.443,106.95021804981988
802.562,81.92337822298012
802.681,61.02710941821415
802.8,44.934080750042
802.919,35.03755754489248
803.038,28.29883673921267
803.157,21.50041475989211
803.276,10.478621908671307
803.394,4.09724183726449
803.513,3.197225591738322
803.632,-6.9673178665771545
803.751,-7.261358832453204
803.87,-14.44950181381658
803.989,-7.8893469796944
804.108,-2.669483770227208
804.227,6.465515054251247
804.346,18.500913831801615
804.465,33.16994280153353
804.583,28.973621321254903
804.702,29.199995834782676
804.821,18.390309194766438
804.94,23.82559785538985
805.059,16.787510335086953
805.178,20.825857980096735
805.297,23.930064103307384
805.416,34.20883319790831
805.535,32.697022748136206
805.653,31.74889794067913
805.772,35.08482833017432
805.891,39.9802170033127
806.01,31.605522756274762
806.129,52.20275421191283
806.248,76.02242404113886
806.367,106.7002831798014
806.485,129.81969049389247
806.604,156.29123008389814
806.723,173.23463114576532
806.842,190.34166857126897
806.961,189.9171042651709
807.08,188.4449209114537
807.198,181.7363739213729
807.317,173.07025117371617
807.436,159.68984271177354
807.555,142.20207494247154
807.674,132.29785695671904
807.793,139.18844416577178
807.912,143.2383387341318
808.03,158.39559260985115
808.149,189.02903696176134
808.268,218.92568477687502
808.387,240.99116376081997
808.506,259.696469584592
808.624,268.5896541962429
808.743,262.29582582088113
808.862,247.13619657971844
808.981,228.44583140781992
809.1,208.6039510844064
809.219,187.54215734107925
809.337,176.10806922545768
809.456,177.96229279814776
809.575,169.47452502884659
809.694,168.6257182985063
809.812,166.22885962011412
809.931,162.10559401531498
810.05,171.32085654904392
810.169,190.2175043641583
810.288,208.45268031780068
810.406,227.35971774330443
810.525,230.9689196709726
810.644,233.3131865337056
810.763,230.4643798033649
810.882,238.16102761847858
811.0,247.88624686216366
811.119,258.79588169026437
811.238,270.94534335819174
811.357,277.1268396581538
811.475,274.74123639101634
811.594,276.1106114788573
811.713,279.5734930602048
811.832,293.6822620874397
811.95,305.1468752705189
812.069,310.7335663756759
812.188,319.5176600782356
812.307,315.1710178500597
812.425,307.56376956127775
812.544,294.8941836101584
812.663,279.2090132434548
812.782,271.8866134395217
812.9,269.98585865723334
813.019,267.56995235979326
813.138,271.2484183567254
813.257,282.0740705008434
813.375,292.9542680995067
813.494,301.1158509795553
813.613,307.4185594007296
813.731,308.25719855783433
813.85,302.12094594004714
813.969,300.5846933222601
814.088,301.6259298819622
814.206,316.3753915498894
814.325,336.9586194515829
814.444,355.79206380349297
814.562,371.4687981986933
814.681,380.65981830817924
814.8,386.0300591968861
814.918,387.44185852715157
815.037,385.21729422105346
815.156,384.74857407079946
815.274,382.73093617162766
815.393,380.64316840232595
815.512,375.990898468522
815.631,375.9308363269257
815.749,387.738306652862
815.868,394.72932676234814
815.987,399.0173165688043
816.105,415.0109340808882
816.224,423.38117496959563
816.343,424.38691369380103
816.461,412.25845328380746
816.58,384.2702526140736
816.698,362.5669004291883
816.817,335.5691759499306
816.936,306.5021874014087
817.055,301.38584820353617
817.173,285.28682502297954
817.292,264.53152478614584
817.41,251.82297779606554
817.529,243.56811045966495
817.648,241.0690872791085
817.766,238.38564851413645
817.885,237.39917944613404
818.004,254.23348959891075
818.122,254.0236439075316
818.241,260.01639561874975
818.359,266.4403161611368
818.478,272.5161847554719
818.597,270.9301440495067
818.715,246.45575313623885
818.834,250.29513506217836
818.953,261.8084817766735
819.071,360.211453436606
819.19,479.18226678412975
819.308,621.7841058576798
819.427,735.7277971534404
819.546,799.6682223156525
819.664,758.1866898927676
819.783,670.6679434529366
819.901,527.3415575211575
820.02,432.613712811608
820.138,324.3106974520113
820.257,270.29611057094814
820.376,230.22932525159166
820.494,217.26655691977152
820.613,203.58744715912792
820.731,206.66504735519413
820.85,204.37554798416068
820.969,218.94492307200153
821.087,235.71170075724478
821.206,255.4455780095875
821.324,279.47123015370505
821.443,304.4735056744462
821.561,326.1277292471354
821.68,334.7274073652794
821.798,324.0630162193544
821.917,309.82633070113513
822.035,288.4874806807512
822.154,267.1546912664277
822.273,252.67298410318645
822.391,242.6622726109408
822.51,241.9848944520283
822.628,241.4096807952801
822.747,246.11758402164872
822.865,252.52938335191325
822.984,263.2364207774158
823.102,268.9746270340871
823.221,267.85049562842113
823.339,262.7878360842271
823.458,267.5052631201197
823.576,263.2781014114237
823.695,268.4656583174462
